"x"
"Ablennes hians"
"Abudefduf hoefleri"
"Abudefduf saxatilis"
"Abudefduf sexfasciatus"
"Abudefduf sordidus"
"Abudefduf taurus"
"Abudefduf vaigiensis"
"Acanthaster planci"
"Acanthopagrus bifasciatus"
"Sepia pharaonis"
"Acanthosiphonia echinata"
"Acanthurus bahianus"
"Acanthurus chirurgus"
"Acanthurus coeruleus"
"Acanthurus gahhm"
"Acanthurus monroviae"
"Acanthurus sohal"
"Acanthurus tractus"
"Acartia tonsa"
"Acartia (Acartiura) omorii"
"Achelia sawayai"
"Achnanthes pseudogroenlandica"
"Acipenser baerii"
"Acipenser gueldenstaedtii"
"Acipenser ruthenus"
"Acipenser stellatus"
"Acipenser transmontanus"
"Acrochaetium catenulatum"
"Acrothamnion preissii"
"Acrothrix gracilis"
"Actaeodes tomentosus"
"Acteocina crithodes"
"Acteocina mucronata"
"Actumnus globulus"
"Adelosina carinatastriata"
"Aequorea globosa"
"Aerococcus viridans"
"Aetea ligulata"
"Aetea longicollis"
"Afrocardium richardi"
"Afropinnotheres monodi"
"Agardhiella subulata"
"Agetus flaccus"
"Agetus typicus"
"Aglaothamnion cordatum"
"Aglaothamnion feldmanniae"
"Aglaothamnion halliae"
"Agonus cataphractus"
"Ahnfeltiopsis flabelliformis"
"Akashiwo sanguinea"
"Alepes djedaba"
"Alexandrium affine"
"Alexandrium leei"
"Alexandrium margalefii"
"Alexandrium minutum"
"Alexandrium ostenfeldii"
"Alexandrium pacificum"
"Alexandrium pseudogonyaulax"
"Alexandrium tamarense"
"Alexandrium taylori"
"Aliculastrum cylindricum"
"Alitta succinea"
"Alitta virens"
"Alkmaria romijni"
"Alloeocarpa loculosa"
"Allolepidapedon fistulariae"
"Alpheus dentipes"
"Alpheus lobidens"
"Alpheus rapacida"
"Aluterus monoceros"
"Aluterus scriptus"
"Amathia gracilis"
"Amathia imbricata"
"Amathia verticillata"
"Amathina tricarinata"
"Ameira divagans"
"Ammothea hilgendorfi"
"Ampelisca cavicoxa"
"Ampelisca heterodactyla"
